admin1,admin2,admin3,location,latitude,longitude,year,month,casualties,num_events,min_distance_to_battlefront,hazard_score,pca_hazard_score,hazard_score_tsne
Chernihiv,Novhorod-Siverskyi,Novhorod-Siverska,Gremyach,52.3344,33.2886,2023,4,0,14,484.09130215326735,57.173913043478265,49.042996243564495,26.47582
Chernihiv,Novhorod-Siverskyi,Novhorod-Siverska,Hai,52.3039,33.2837,2023,1,0,1,481.5822373013282,20.869565217391305,20.051046233947787,4.2082095
Chernihiv,Novhorod-Siverskyi,Novhorod-Siverska,Hai,52.3039,33.2837,2023,2,0,2,481.5822373013282,21.73913043478261,20.358098704235605,5.848603
Chernihiv,Novhorod-Siverskyi,Novhorod-Siverska,Hai,52.3039,33.2837,2023,3,0,1,481.5822373013282,20.869565217391305,20.051046233947787,4.2084465
Chernihiv,Novhorod-Siverskyi,Novhorod-Siverska,Horodyshche,52.3204,33.1191,2023,2,0,1,489.86813224797106,20.869565217391305,20.051930928927078,3.7693717
Chernihiv,Novhorod-Siverskyi,Novhorod-Siverska,Horodyshche,52.3204,33.1191,2023,3,0,3,489.86813224797106,22.608695652173914,20.66603586950272,6.6417255
Chernihiv,Novhorod-Siverskyi,Novhorod-Siverska,Kamianska Sloboda,52.264,33.289,2023,1,0,1,477.8326270069865,20.869565217391305,20.0506458835423,4.442554
Chernihiv,Novhorod-Siverskyi,Novhorod-Siverska,Kamianska Sloboda,52.264,33.289,2023,3,0,2,477.8326270069865,21.73913043478261,20.35769835383012,5.8462167
Chernihiv,Novhorod-Siverskyi,Novhorod-Siverska,Kamianska Sloboda,52.264,33.289,2023,4,0,2,477.8326270069865,21.73913043478261,20.35769835383012,5.846035
Chernihiv,Novhorod-Siverskyi,Novhorod-Siverska,Kolos,52.3379,33.3141,2023,2,0,1,483.36702620354663,20.869565217391305,20.05123679800768,4.104378
Chernihiv,Novhorod-Siverskyi,Novhorod-Siverska,Kolos,52.3379,33.3141,2023,3,0,1,483.36702620354663,20.869565217391305,20.05123679800768,4.104378
Chernihiv,Novhorod-Siverskyi,Novhorod-Siverska,Krasnyi Khutir,52.2865,33.0317,2023,1,0,2,490.6295334368637,21.73913043478261,20.35906469493653,5.8443727
Chernihiv,Novhorod-Siverskyi,Novhorod-Siverska,Mykhalchyna-Sloboda,52.3128,33.2108,2023,1,0,4,485.3752576378032,23.47826086956522,20.972608630159197,6.905104
Chernihiv,Novhorod-Siverskyi,Novhorod-Siverska,Mykhalchyna-Sloboda,52.3128,33.2108,2023,2,0,3,485.3752576378032,22.608695652173914,20.665556159871375,6.576129
Chernihiv,Novhorod-Siverskyi,Novhorod-Siverska,Mykhalchyna-Sloboda,52.3128,33.2108,2023,3,0,4,485.3752576378032,23.47826086956522,20.972608630159197,6.9050975
Chernihiv,Novhorod-Siverskyi,Novhorod-Siverska,Novhorod-Siverskyi,51.9984,33.2651,2023,1,0,1,455.7690305052778,20.869565217391305,20.048290126780245,9.475374
Chernihiv,Novhorod-Siverskyi,Novhorod-Siverska,Novhorod-Siverskyi,51.9984,33.2651,2023,2,0,1,455.7690305052778,20.869565217391305,20.048290126780245,9.475374
Chernihiv,Novhorod-Siverskyi,Novhorod-Siverska,Novhorod-Siverskyi,51.9984,33.2651,2023,3,0,2,455.7690305052778,21.73913043478261,20.355342597068066,12.299588
Chernihiv,Novhorod-Siverskyi,Novhorod-Siverska,Novhorod-Siverskyi,51.9984,33.2651,2023,4,0,1,455.7690305052778,20.869565217391305,20.048290126780245,9.475374
Chernihiv,Novhorod-Siverskyi,Novhorod-Siverska,Pecheniuhy,52.0535,33.0111,2023,4,2,1,471.7149328990898,20.881357670221494,20.155244501794495,4.8601236
Chernihiv,Novhorod-Siverskyi,Novhorod-Siverska,Popivka,52.0337,32.8591,2023,3,0,2,477.00039891525824,21.73913043478261,20.3576094958348,5.843753
